START_DATE,END_DATE,START,STOP,MILES,PURPOSE
2024-01-17 06:05:00,2024-01-17 06:30:00,Marseille,Vitrolles,9.73,Meeting
2024-05-22 06:48:00,2024-05-22 07:33:00,Boulogne-Billancourt,Issy-les-Moulineaux,15.75,Commute
2024-01-23 20:34:00,2024-01-23 21:18:00,Villeurbanne,Bron,12.02,Meeting
2024-12-26 08:02:00,2024-12-26 08:36:00,Nanterre,Créteil,11.14,Meeting
2024-04-17 14:44:00,2024-04-17 15:00:00,Almada,Lisbon,4.89,Commute
2024-11-23 23:14:00,2024-11-24 00:03:00,Aix-en-Provence,Vitrolles,11.88,Commute
2024-09-12 18:56:00,2024-09-12 19:21:00,Getafe,Alcorcón,7.15,Business
2024-07-23 17:14:00,2024-07-23 17:55:00,Boulogne-Billancourt,Créteil,9.47,Errand
2024-07-16 18:38:00,2024-07-16 19:02:00,Oullins,Oullins,4.45,Meeting
2024-06-23 09:18:00,2024-06-23 09:45:00,Almada,Loures,7.25,Customer Visit
2024-11-16 15:53:00,2024-11-16 16:14:00,Loures,Sintra,1.81,Shopping
2024-02-27 17:56:00,2024-02-27 18:12:00,Issy-les-Moulineaux,Issy-les-Moulineaux,2.29,Commute
2024-08-31 23:10:00,2024-08-31 23:56:00,Boulogne-Billancourt,Paris,12.96,Business
2024-12-09 17:28:00,2024-12-09 18:03:00,Villeurbanne,Oullins,11.16,Commute
2024-01-17 16:04:00,2024-01-17 16:16:00,Paris,Créteil,2.84,Business
2024-04-07 09:06:00,2024-04-07 09:34:00,Caluire-et-Cuire,Caluire-et-Cuire,4.87,Customer Visit
2024-06-22 09:15:00,2024-06-22 09:33:00,Oullins,Saint-Priest,6.19,Business
2024-10-03 06:05:00,2024-10-03 06:29:00,Boulogne-Billancourt,Nanterre,9.76,Business
2024-07-18 14:59:00,2024-07-18 15:20:00,Versailles,Saint-Denis,7.24,Commute
2024-10-23 23:03:00,2024-10-23 23:27:00,Saint-Priest,Caluire-et-Cuire,5.77,Meal/Entertain
2024-04-05 08:38:00,2024-04-05 09:08:00,La Ciotat,Martigues,4.08,Business
2024-05-13 12:42:00,2024-05-13 13:22:00,Caluire-et-Cuire,Saint-Priest,10.3,Commute
2024-11-14 09:04:00,2024-11-14 09:31:00,Saint-Priest,Bron,8.96,Business
2024-11-30 22:00:00,2024-11-30 22:24:00,Nanterre,Boulogne-Billancourt,6.7,Meeting
2024-03-20 14:18:00,2024-03-20 14:51:00,Lisbon,Oeiras,10.43,Airport
2024-05-21 07:00:00,2024-05-21 07:06:00,Créteil,Saint-Denis,0.8,Meeting
2024-12-19 10:34:00,2024-12-19 10:55:00,Amadora,Loures,9.2,Business
2024-04-17 13:42:00,2024-04-17 13:57:00,Bron,Bron,6.0,Errand
2024-01-13 11:47:00,2024-01-13 12:22:00,Alcorcón,Pozuelo de Alarcón,14.36,Errand
2024-01-20 21:14:00,2024-01-20 22:06:00,Saint-Priest,Villeurbanne,17.06,Commute
2024-05-22 17:41:00,2024-05-22 18:15:00,Oullins,Villeurbanne,9.62,Errand
2024-05-15 07:06:00,2024-05-15 07:45:00,Leganés,Madrid,15.01,Business
2024-01-01 22:59:00,2024-01-01 23:47:00,Alcorcón,Fuenlabrada,15.71,Airport
2024-12-05 09:46:00,2024-12-05 10:35:00,Loures,Oeiras,14.91,Meeting
2024-03-30 15:25:00,2024-03-30 15:51:00,Vitrolles,Lyon#,5.73,Airport
2024-04-19 22:30:00,2024-04-19 23:06:00,Issy-les-Moulineaux,Créteil,7.52,Commute
2024-04-25 12:09:00,2024-04-25 12:25:00,Par1s,Martigues,3.01,Airport
2024-05-04 10:41:00,2024-05-04 11:07:00,Salon-de-Provence,Salon-de-Provence,4.21,Commute
2024-03-03 20:08:00,2024-03-03 20:43:00,Madrid,Leganés,13.59,Meeting
2024-10-07 20:57:00,2024-10-07 21:57:00,Sintra,Cascais,18.62,Commute
2024-02-09 15:15:00,2024-02-09 15:41:00,Oullins,Saint-Priest,7.17,Commute
2024-10-04 20:26:00,2024-10-04 20:48:00,Villeurbanne,Villeurbanne,2.6,Commute
2024-06-29 15:48:00,2024-06-29 16:35:00,Oullins,Saint-Priest,10.24,Commute
2024-01-15 18:21:00,2024-01-15 18:58:00,Móstoles,Fuenlabrada,11.46,Commute
2024-10-30 06:05:00,2024-10-30 06:11:00,Salon-de-Provence,Aix-en-Provence,0.8,Errand
2024-08-03 14:53:00,2024-08-03 15:26:00,Lyon,Lisb0n,9.46,Commute
2024-05-06 12:53:00,2024-05-06 13:21:00,Par1s,Paris,12.39,Customer Visit
2024-03-24 15:06:00,2024-03-24 15:24:00,Lyon,Vénissieux,5.12,Customer Visit
2024-06-03 09:50:00,2024-06-03 10:25:00,Bron,Oullins,9.25,Business
2024-07-04 20:45:00,2024-07-04 21:10:00,Bron,Lyon,4.39,Business
2024-10-30 14:20:00,2024-10-30 14:53:00,Saint-Priest,Caluire-et-Cuire,8.35,Commute
2024-04-03 21:13:00,2024-04-03 21:36:00,Versailles,Saint-Denis,2.45,Errand
2024-02-13 13:46:00,2024-02-13 14:17:00,Saint-Denis,Nanterre,5.66,Shopping
2024-06-05 17:30:00,2024-06-05 18:04:00,Versailles,Saint-Denis,7.7,Airport
2024-03-02 12:20:00,2024-03-02 12:52:00,Sintra,Almada,8.77,Commute
2024-02-21 12:18:00,2024-02-21 12:38:00,Getafe,Pozuelo de Alarcón,1.31,Meeting
