city,country
Aix-en-Provence,France
Aubagne,France
Boulogne-Billancourt,France
Bron,France
Caluire-et-Cuire,France
Créteil,France
Issy-les-Moulineaux,France
La Ciotat,France
Lyon,France
Marseille,France
Martigues,France
Nanterre,France
Oullins,France
Paris,France
Saint-Denis,France
Saint-Priest,France
Salon-de-Provence,France
Versailles,France
Villeurbanne,France
Vitrolles,France
Vénissieux,France
Almada,Portugal
Amadora,Portugal
Cascais,Portugal
Lisbon,Portugal
Loures,Portugal
Oeiras,Portugal
Sintra,Portugal
Alcorcón,Spain
Fuenlabrada,Spain
Getafe,Spain
Leganés,Spain
Madrid,Spain
Móstoles,Spain
Pozuelo de Alarcón,Spain
